                 Time	                V(VO)	                V(VI)
  0.00962000016250161	     4.96435928344727	                    0
  0.00962000032306163	     4.96435928344727	                    0
  0.00962000064418165	     4.96435928344727	                    0
   0.0096200012864217	     4.96435928344726	                    0
  0.00962000257090179	     4.96435976028442	                    0
  0.00962000513986198	     4.96436023712158	                    0
  0.00962001027778236	      4.9643611907959	                    0
  0.00962002055362312	     4.96436309814453	                    0
  0.00962004110530464	      4.9643669128418	                    0
  0.00962008220866768	     4.96437406539917	                    0
  0.00962016441539375	     4.96438932418823	                    0
   0.0096203288288459	      4.9644193649292	                    0
   0.0096206576557502	     4.96447944641113	                    0
  0.00962131530955879	       4.964599609375	                    0
  0.00962263061717598	     4.96483659744263	                    0
  0.00962526123241035	     4.96528434753418	                    0
   0.0096305224628791	     4.96597146987915	                    0
   0.0096410449238166	     4.96575164794922	                    0
  0.00966116821483223	     4.95488882064819	                    0
   0.0096987353535041	     4.87753105163574	                    0
  0.00975400268748848	     4.59576416015625	                    0
  0.00982120239451973	     3.99629807472229	                    0
  0.00988945190623848	     3.19390439987183	                    0
  0.00998513061717598	     2.01287794113159	                    0
                 0.01	     1.83745884895325	                    0


